"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 08:52:18 GMT 2024","Thu Mar 28 08:52:30 GMT 2024","12270","tests","features_profile_test","TestVacancies","","","test_display_sales_in_table_after_chosen_dropdown",""
"passed","Thu Mar 28 08:53:18 GMT 2024","Thu Mar 28 08:53:24 GMT 2024","5483","tests","features_profile_test","TestRecruitmentCandidate","","","test_hidden_block",""
"passed","Thu Mar 28 08:53:09 GMT 2024","Thu Mar 28 08:53:18 GMT 2024","8958","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_no_records",""
"passed","Thu Mar 28 08:48:16 GMT 2024","Thu Mar 28 08:48:27 GMT 2024","10129","tests","features_profile_test","TestNationalities","","","test_country_is_exist",""
"passed","Thu Mar 28 08:52:30 GMT 2024","Thu Mar 28 08:52:40 GMT 2024","9407","tests","features_profile_test","TestRecruitmentCandidate","","","test_add_new_candidate",""
"passed","Thu Mar 28 08:47:52 GMT 2024","Thu Mar 28 08:48:16 GMT 2024","23886","tests","features_profile_test","TestNationalities","","","test_delete_kyiv_from_table",""
"passed","Thu Mar 28 08:51:53 GMT 2024","Thu Mar 28 08:52:05 GMT 2024","11450","tests","features_profile_test","TestVacancies","","","test_show_error_when_empty_field",""
"failed","Thu Mar 28 08:53:24 GMT 2024","Thu Mar 28 08:53:35 GMT 2024","10409","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_qa_lead_after_chosen_from_dropdown",""
"passed","Thu Mar 28 08:47:41 GMT 2024","Thu Mar 28 08:47:52 GMT 2024","10393","tests","features_profile_test","TestNationalities","","","test_add_kyiv",""
"passed","Thu Mar 28 08:49:23 GMT 2024","Thu Mar 28 08:49:30 GMT 2024","7202","tests","features_profile_test","TestDirectory","","","test_is_display_hr_after_filters",""
"passed","Thu Mar 28 08:49:15 GMT 2024","Thu Mar 28 08:49:22 GMT 2024","7418","tests","features_profile_test","TestDirectory","","","test_is_display_employee_after_filters",""
"passed","Thu Mar 28 08:52:05 GMT 2024","Thu Mar 28 08:52:17 GMT 2024","12317","tests","features_profile_test","TestVacancies","","","test_display_engineer_in_table_after_chosen_dropdown",""
"failed","Thu Mar 28 08:53:44 GMT 2024","Thu Mar 28 08:53:53 GMT 2024","8548","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_manager_chosen_from_dropdown",""
"passed","Thu Mar 28 08:51:43 GMT 2024","Thu Mar 28 08:51:53 GMT 2024","10241","tests","features_profile_test","TestVacancies","","","test_vacancy_existed",""
"passed","Thu Mar 28 08:52:48 GMT 2024","Thu Mar 28 08:53:00 GMT 2024","11257","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_candidate",""
"passed","Thu Mar 28 08:51:08 GMT 2024","Thu Mar 28 08:51:18 GMT 2024","9582","tests","features_profile_test","TestPimReports","","","test_sort_descending_name",""
"passed","Thu Mar 28 08:49:30 GMT 2024","Thu Mar 28 08:49:37 GMT 2024","7050","tests","features_profile_test","TestDirectory","","","test_is_display_chief_after_filters",""
"failed","Thu Mar 28 08:48:36 GMT 2024","Thu Mar 28 08:49:15 GMT 2024","38499","tests","features_profile_test","TestNationalities","","","test_scraping_all_countries_in_table",""
"passed","Thu Mar 28 08:53:00 GMT 2024","Thu Mar 28 08:53:09 GMT 2024","8809","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_invalid_data",""
"passed","Thu Mar 28 08:47:31 GMT 2024","Thu Mar 28 08:47:41 GMT 2024","10580","tests","features_profile_test","TestNationalities","","","test_add_country",""
"passed","Thu Mar 28 08:51:18 GMT 2024","Thu Mar 28 08:51:26 GMT 2024","7567","tests","features_profile_test","TestPimReports","","","test_hide_block",""
"passed","Thu Mar 28 08:49:45 GMT 2024","Thu Mar 28 08:49:59 GMT 2024","13722","tests","features_profile_test","TestDirectory","","","test_each_user_have_email",""
"passed","Thu Mar 28 08:50:37 GMT 2024","Thu Mar 28 08:50:45 GMT 2024","7757","tests","features_profile_test","TestPimReports","","","test_find_invalid_report",""
"broken","Thu Mar 28 08:50:13 GMT 2024","Thu Mar 28 08:50:37 GMT 2024","24066","tests","features_profile_test","TestPimReports","","","test_find_a_new_report",""
"passed","Thu Mar 28 08:48:27 GMT 2024","Thu Mar 28 08:48:36 GMT 2024","8829","tests","features_profile_test","TestNationalities","","","test_empty_field",""
"passed","Thu Mar 28 08:53:35 GMT 2024","Thu Mar 28 08:53:44 GMT 2024","8717","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_sales_after_chosen_from_dropdown",""
"passed","Thu Mar 28 08:50:46 GMT 2024","Thu Mar 28 08:50:58 GMT 2024","12842","tests","features_profile_test","TestPimReports","","","test_delete_report",""
"passed","Thu Mar 28 08:51:26 GMT 2024","Thu Mar 28 08:51:42 GMT 2024","16242","tests","features_profile_test","TestVacancies","","","test_add_vacancy_QA",""
"passed","Thu Mar 28 08:47:27 GMT 2024","Thu Mar 28 08:47:30 GMT 2024","2813","tests","features_profile_test","TestProfileFeatures","","","test_with_valid_crendentional",""
"passed","Thu Mar 28 08:49:59 GMT 2024","Thu Mar 28 08:50:13 GMT 2024","13619","tests","features_profile_test","TestPimReports","","","test_add_report",""
"passed","Thu Mar 28 08:52:40 GMT 2024","Thu Mar 28 08:52:48 GMT 2024","8171","tests","features_profile_test","TestRecruitmentCandidate","","","test_shown_error_when_empty_fields",""
"passed","Thu Mar 28 08:50:59 GMT 2024","Thu Mar 28 08:51:08 GMT 2024","9215","tests","features_profile_test","TestPimReports","","","test_sort_ascending_name",""
"passed","Thu Mar 28 08:49:37 GMT 2024","Thu Mar 28 08:49:45 GMT 2024","7279","tests","features_profile_test","TestDirectory","","","test_all_locations_are_presented_in_dropdown",""
